月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園區,96,76,110,100,119,94,109,135,91,98,85,77
中壢區,90,67,102,79,113,89,88,100,89,88,93,84
大溪區,19,22,35,21,29,24,22,24,20,28,15,24
楊梅區,29,25,38,27,46,40,38,47,30,37,51,36
蘆竹區,38,23,39,35,30,40,27,36,45,23,38,32
大園區,20,17,19,20,21,20,20,21,23,25,20,15
龜山區,46,28,52,35,29,47,28,38,32,25,32,36
八德區,45,30,58,45,52,42,65,48,44,41,53,56
龍潭區,22,28,35,24,25,22,27,36,21,37,25,29
平鎮區,48,29,65,53,59,54,66,49,45,77,53,53
新屋區,10,6,21,12,7,6,11,6,9,14,10,15
觀音區,10,10,24,17,18,27,10,16,17,16,18,16
復興區,4,2,5,7,2,6,4,2,3,3,1,3
